CustomerID|CustomerName|DateJoined|UserName|Password
1|Elsa Smith|2018-08-12|els123434|fhfhdshfd
2|Boba Tea|2017-12-11|bobaboba|teaaaaaaa
3|Charity Berg|2016-12-12|chd126756|gdbdsns
4|Isai Turner|2015-03-12|ISADdbd|bfbfdbdfsb
5|Alicia Tapia|2017-04-14|Axv124578|13245fddb
6|Adrianna Vazquez|2018-05-12|dbbf129879|vfdvf44456
7|Kyler Frost|2017-11-11|fbf3466752|54531544
8|Rohan Underwood|2015-12-12|bfb467667|fbfbf34355
9|Kennedy Newton|2016-08-08|fbfb454665|fbfbfbfee454
10|Tamara Cabrera|2017-12-11|bfb456|bfthtbnfn12
11|Skyler Schemer|2018-03-05|fgfrb4354345|fvfb55
12|Zanied Bolton|2017-05-09|bobateaislife|liveanddrinkbobatea
13|Morgan Boyd|2017-12-11|ilovemyself|lovelovelive12
14|Heaven Jensen|2018-06-07|heyheyehey|huhuhubffv12

